run_index,voted_redundant_blocks,num_voted_blocks
1,"6,22,24,25,26,27,28,29,30,31,32,33,38,39,40,42,48,49,50,52",20
2,"22,24,25,26,27,28,29,30,31,32,33,39,40,48,52",15
3,"22,24,25,26,27,28,29,30,31,32,33,34,35,39,40,48,49,50,52",19
4,"6,22,24,25,26,27,28,29,30,31,32,33,34,38,39,40,49,52",18
5,"22,24,25,26,27,28,29,30,31,32,33,39,40,48,52",15
6,"22,24,25,26,27,28,29,30,31,32,33,38,39,40,42,48,52",17
7,"6,22,24,25,26,27,28,29,30,31,32,33,34,38,39,40,41,42,48,52",20
8,"22,23,24,25,26,27,28,29,30,31,32,33,38,39,40,42,48,50,52",19
9,"6,22,24,25,26,27,28,29,30,31,32,33,38,39,40,42,48,50,52",19
10,"22,24,25,26,27,28,29,30,31,32,33,34,35,39,40,48,49,50,52",19
11,"6,22,24,25,26,27,28,29,30,31,32,33,34,35,39,40,42,48,50,52",20
12,"22,24,25,26,27,28,29,30,31,32,33,34,35,39,40,50,52",17
13,"22,24,25,26,27,28,29,30,31,32,33,34,39,40,42,49,50,52",18
14,"22,24,25,26,27,28,29,30,31,32,33,39,40,48,49,52",16
15,"6,22,24,25,26,27,28,29,30,31,32,33,34,35,39,40,42,49,50,52",20
16,"22,24,25,26,27,28,29,30,31,32,33,35,38,39,40,50,52",17
17,"6,22,24,25,26,27,28,29,30,31,32,33,38,39,40,49,50,52",18
18,"22,24,25,26,27,28,29,30,31,32,33,38,39,40,50,52",16
19,"22,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,48,49,52",19
20,"22,24,25,26,27,28,29,30,31,32,33,35,39,40,48,50,52",17
21,"6,22,24,25,26,27,28,29,30,31,32,33,39,40,42,48,49,52",18
22,"6,22,24,25,26,27,28,29,30,31,32,33,35,39,40,48,50,52",18
23,"6,22,24,25,26,27,28,29,30,31,32,33,38,39,40,42,48,50,52",19
24,"22,24,25,26,27,28,29,30,31,32,33,39,40,42,48,49,50,52",18
25,"22,24,25,26,27,28,29,30,31,32,33,34,38,39,40,48,49,52",18
26,"22,24,25,26,27,28,29,30,31,32,33,34,35,39,40,48,50,52",18
27,"6,22,24,25,26,27,28,29,30,31,32,33,34,38,39,40,52",17
28,"22,24,25,26,27,28,29,30,31,32,33,38,39,40,49,50,52",17
29,"22,24,25,26,27,28,29,30,31,32,33,34,38,39,40,42,49,52",18
30,"6,22,24,25,26,27,28,29,30,31,32,33,39,40,48,50,52",17
31,"22,24,25,26,27,28,29,30,31,32,33,34,39,40,42,48,50,52",18
32,"6,22,24,25,26,27,28,29,30,31,32,33,34,35,39,40,42,49,52",19
33,"22,24,25,26,27,28,29,30,31,32,33,34,38,39,40,48,49,52",18
34,"22,24,25,26,27,28,29,30,31,32,33,39,40,48,52",15
35,"6,22,24,25,26,27,28,29,30,31,32,33,34,38,39,40,50,52",18
36,"6,22,24,25,26,27,28,29,30,31,32,33,34,38,39,40,48,49,50,52",20
37,"22,24,25,26,27,28,29,30,31,32,33,34,35,39,40,48,52",17
38,"6,22,24,25,26,27,28,29,30,31,32,33,35,38,39,40,47,48,49,50,52",21
39,"22,24,25,26,27,28,29,30,31,32,33,38,39,40,42,48,49,50,52",19
40,"6,22,24,25,26,27,28,29,30,31,32,33,35,39,40,42,48,50,52",19
41,"6,22,24,25,26,27,28,29,30,31,32,33,34,35,39,40,48,49,50,52",20
42,"6,22,24,25,26,27,28,29,30,31,32,33,35,38,39,40,48,52",18
43,"22,24,25,26,27,28,29,30,31,32,33,35,39,40,42,50,52",17
44,"22,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,48,49,52",19
45,"22,24,25,26,27,28,29,30,31,32,33,39,40,48,49,52",16
46,"22,24,25,26,27,28,29,30,31,32,33,39,40,48,52",15
47,"22,24,25,26,27,28,29,30,31,32,33,35,39,40,48,52",16
48,"6,22,24,25,26,27,28,29,30,31,32,33,34,35,39,40,42,48,50,52",20
