run_index,voted_redundant_blocks,num_voted_blocks
1,"10,11,21",3
2,"6,10,11,21",4
3,"6,10,11,21",4
4,"6,10,11,21",4
5,"6,10,11,21",4
6,"6,10,11,21",4
7,"6,10,11,21",4
8,"6,10,11,22",4
9,"6,10,11,21",4
10,"6,10,11,21",4
11,"6,10,11,21",4
12,"6,10,11,21",4
13,"6,10,11,21",4
14,"6,10,11,21",4
15,"6,10,11,21",4
16,"6,10,11,21",4
17,"6,10,11,21",4
18,"6,10,11,21",4
19,"6,10,11,21",4
20,"6,10,11,21",4
21,"6,11,21",3
22,"6,10,11",3
23,"6,10,11,21",4
24,"6,10,11,21",4
25,"6,10,11,21",4
26,"6,10,11,21",4
27,"6,10,11,21",4
28,"6,10,11,21",4
29,"6,10,11,21",4
30,"6,10,11,21",4
31,"6,11,21",3
32,"6,10,11,21",4
33,"6,10,11,21",4
34,"6,10,11,19,21",5
35,"6,10,11,19,21",5
36,"6,10,11,21",4
37,"6,10,11",3
38,"6,10,11,21",4
39,"6,10,11,21",4
40,"6,10,11,21",4
41,"6,11,21",3
42,"6,10,11,21",4
43,"6,10,11,21",4
44,"6,10,11,21",4
45,"6,10,11,21",4
46,"6,10,11,21",4
47,"6,10,11,21",4
48,"6,10,11,21",4
49,"6,10,11,21",4
50,"6,10,11,21",4
51,"6,10,11,21",4
52,"6,11,21",3
53,"6,10,11,21",4
54,"6,10,11,21",4
55,"6,10,11,21",4
56,"6,10,11,21",4
57,"6,10,11,21",4
58,"6,10,11,21",4
59,"10,11,21",3
60,"6,10,11,21",4
61,"6,10,11,21",4
62,"6,10,11,21",4
63,"6,10,11,21",4
64,"6,10,11,21",4
65,"6,10,11,21",4
66,"6,10,11,21",4
67,"6,10,11,21",4
68,"6,10,11,21",4
69,"6,10,11",3
70,"6,10,11,21",4
71,"6,10,11,21",4
72,"6,10,11,21",4
73,"6,10,11,21",4
74,"6,10,11,21",4
75,"6,10,11,21",4
76,"6,10,11,21",4
77,"6,10,11,21",4
78,"6,10,11,21,22",5
79,"6,10,11,21",4
80,"6,11,21",3
81,"6,10,11,21",4
82,"6,10,11,21",4
83,"6,10,11,21,22",5
84,"6,10,11,21",4
85,"6,10,11,21",4
86,"6,10,11,21",4
87,"6,10,11,21",4
88,"6,10,11,21",4
89,"6,10,11,21,22",5
90,"6,10,11,21",4
91,"6,10,11,21",4
92,"6,10,11,21",4
93,"6,10,11,21",4
94,"6,10,11,21",4
95,"6,10,11,21",4
96,"6,10,11",3
97,"6,10,11,21",4
98,"6,11,21",3
99,"6,10,11,21",4
100,"6,10,11,21",4
